Portfolio,Ticker,Weight,Portfolio_key
Tangency (Max Sharpe),AAPL,0.3008787579593869,TANGENCY (MAX SHARPE)
Minimum Variance,AAPL,0.0,MINIMUM VARIANCE
Tangency (Max Sharpe),MSFT,0.346131869733591,TANGENCY (MAX SHARPE)
Minimum Variance,MSFT,0.0137110925325884,MINIMUM VARIANCE
Tangency (Max Sharpe),GOOG,0.0,TANGENCY (MAX SHARPE)
Minimum Variance,GOOG,0.5346173967940052,MINIMUM VARIANCE
Tangency (Max Sharpe),DIA,7.661248774657466e-17,TANGENCY (MAX SHARPE)
Minimum Variance,DIA,8.050201130704869e-18,MINIMUM VARIANCE
Tangency (Max Sharpe),SPY,0.0102278240856014,TANGENCY (MAX SHARPE)
Minimum Variance,SPY,0.0,MINIMUM VARIANCE
Tangency (Max Sharpe),BTC-USD,0.3427615482214207,TANGENCY (MAX SHARPE)
Minimum Variance,BTC-USD,0.0,MINIMUM VARIANCE
Tangency (Max Sharpe),ETH-USD,0.0,TANGENCY (MAX SHARPE)
Minimum Variance,ETH-USD,0.4516715106734064,MINIMUM VARIANCE
