Price,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,BTC-USD,DIA,ETH-USD,GOOG,MSFT,SPY,AAPL,BTC-USD,DIA,ETH-USD,GOOG,MSFT,SPY,AAPL,BTC-USD,DIA,ETH-USD,GOOG,MSFT,SPY,AAPL,BTC-USD,DIA,ETH-USD,GOOG,MSFT,SPY,AAPL,BTC-USD,DIA,ETH-USD,GOOG,MSFT,SPY
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01,,314.2489929199219,,,,,,,320.43499755859375,,,,,,,314.00299072265625,,,,,,,320.43499755859375,,,,,,,8036550,,,,,
2015-01-02,24.28858757019043,315.0320129394531,143.34104919433594,,26.014020919799805,39.998695373535156,171.5680389404297,24.757342109103483,315.8389892578125,144.38021401703406,,26.334234358573397,40.563261964442404,172.77903908485683,23.84871302414892,313.56500244140625,142.5677077999823,,25.9788278167037,39.81050868530458,170.52408208738143,24.74623350688034,314.0790100097656,143.9129887171727,,26.222208384206322,39.91315626644015,172.3614563436375,212818400.0,7860650,4997200.0,,28951268.0,27913900.0,121465900.0
2015-01-03,24.28858757019043,281.0820007324219,143.34104919433594,,26.014020919799805,39.998695373535156,171.5680389404297,24.757342109103483,315.1499938964844,144.38021401703406,,26.334234358573397,40.563261964442404,172.77903908485683,23.84871302414892,281.0820007324219,142.5677077999823,,25.9788278167037,39.81050868530458,170.52408208738143,24.74623350688034,314.84600830078125,143.9129887171727,,26.222208384206322,39.91315626644015,172.3614563436375,212818400.0,33054400,4997200.0,,28951268.0,27913900.0,121465900.0
2015-01-04,24.28858757019043,264.19500732421875,143.34104919433594,,26.014020919799805,39.998695373535156,171.5680389404297,24.757342109103483,287.2300109863281,144.38021401703406,,26.334234358573397,40.563261964442404,172.77903908485683,23.84871302414892,257.61199951171875,142.5677077999823,,25.9788278167037,39.81050868530458,170.52408208738143,24.74623350688034,281.14599609375,143.9129887171727,,26.222208384206322,39.91315626644015,172.3614563436375,212818400.0,55629100,4997200.0,,28951268.0,27913900.0,121465900.0
2015-01-05,23.60433006286621,274.4739990234375,140.84381103515625,,25.471744537353516,39.6308708190918,168.46958923339844,24.137510563273064,278.34100341796875,142.75299257563344,,25.99023088784582,39.97303047791457,170.68277275764044,23.41771781993756,265.0840148925781,140.5377072378429,,25.43159508343958,39.56243692946277,168.1605820698364,24.05753340346533,265.0840148925781,142.63215145482923,,25.937191894961067,39.665084500798855,170.51574220283973,257142000.0,43962800,6700200.0,,41196796.0,39673900.0,169632600.0
2015-01-06,23.606548309326172,286.1889953613281,139.67568969726562,,24.88138198852539,39.049198150634766,166.8827667236328,23.866473189260027,287.5530090332031,141.4076343387874,,25.58599869812668,39.9901413476903,169.3047414368141,23.244429090081105,272.6960144042969,138.81374909956344,,24.83627618927803,38.95510317830768,166.08100228258024,23.668752380257303,274.6109924316406,141.05319917293966,,25.52775497450314,39.67364274695092,168.77858312413545,263188400.0,23245700,10131400.0,,57998800.0,36447900.0,209151400.0
2015-01-07,23.93757438659668,294.3370056152344,141.44793701171875,,24.83875274658203,39.54533767700195,168.96231079101562,24.03754501696595,298.7539978027344,141.6090461655857,,25.1433007731312,39.74208026089452,169.30473166501477,23.704307322488965,283.0790100097656,140.3604410042365,,24.766878122983478,38.91234036588819,167.7680303806061,23.815386553981295,286.0769958496094,140.85183191322702,,25.131205692435415,39.33148661671331,168.21901409143436,160423600.0,24866800,5547000.0,,41301082.0,29114100.0,125346700.0
2015-01-08,24.8573055267334,283.3489990234375,144.00160217285156,,24.917072296142578,40.70867919921875,171.96060180664062,24.915067190627752,294.135009765625,144.16272367179818,,24.95672687186251,40.84554371780122,172.17775303101104,24.148619623170898,282.17498779296875,142.75299659892755,,24.338112456906735,39.964478583370806,170.36544510428644,24.266365009745527,294.135009765625,142.7932646818196,,24.68459606613181,39.99013966088392,170.38213924184072,237458000.0,19982500,7166700.0,,67071641.0,29645200.0,147217800.0
